;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;68;40;4395;3039;7;0;6882;2265;107;51;36;52;2094;480;1;1;0;10;456;2131;12544;2607;1184;1;0;0;0
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;115;0;8;5;35;59;24;0;0;1;0;4;0;0;0;0;0;0;24;67;46;8;0;0;0;0
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;28;2;71;116;0;0;47;497;32;5;0;0;5;0;4;116;38;13;24;0;0;0;0
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9741;131;480;1515;1496;72;1;230;426;599;18;2;63;19;2;18;1493;2093;459;437;0;0;0;0
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156;493;1816;1792;9;1;671;486;679;30;2;120;39;2;30;1669;2251;522;584;120;0;0;0
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;11;135;10;14;6;12;2;0;0;0;0;0;0;134;4;1;3;0;0;0;0
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;238;43;0;0;2;27;69;2;0;0;2;0;2;42;36;50;82;0;0;0;0
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;178;14;51;35;42;5583;10;0;14;2;0;4;178;4098;6255;5649;0;0;0;0
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;0;0;0;0;0;5;218;0;520;0;10625;0;0;0;218;0;0;0
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;8;671;0;0;0;0;0;0;0;0;0;0;0
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;3142;0;0;0;0;0;0;0;0
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;5;0;0;0;0;0;0;0;0;0
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;218;0;0;0
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0
Router 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0
Router 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0
Router 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
Router 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
Router 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
Router 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
Router 51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
Router 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
